,di_pre,ipca_real,pre_nominal,ust,sofr,fed_funds,usdbrl,ibov,spx,soja,brent,wti,vol_ibov,vol_spx,vol_usdbrl,vol_juros,spread_debentures,spread_bonds_corp,nmd_decay_rate,cpr
di_pre,1.0,0.3000000000000005,0.8499999999999999,0.2000000000000004,2.9564014738973315e-16,-2.0965862166525588e-16,1.2084099186378883e-16,-2.635062996319898e-16,-3.983053873566262e-16,5.989728513101649e-17,1.7702537969225262e-16,-3.1344748987691773e-16,3.273069486300094e-17,3.0687178222153837e-17,-1.5249533222824924e-16,0.20000000000000026,0.14999999999999983,-2.4770459767930322e-16,0.25000000000000017,-0.30000000000000016
ipca_real,0.3000000000000005,1.0,0.24999999999999994,1.8686876059983686e-16,1.0170407696815856e-17,-3.5077578747729665e-16,-1.1607455001963682e-16,8.117980210959998e-17,-3.3549539693577894e-16,2.2022563600477692e-16,-8.085790114824461e-17,4.6707304111974284e-17,6.484081737693324e-18,1.0474634485116742e-16,-7.206451235583516e-17,4.1024341433127286e-16,4.922596275457807e-17,-1.4337522392568908e-16,2.884980832923448e-16,-4.990762571842975e-16
pre_nominal,0.8499999999999999,0.24999999999999994,1.0,0.15,-8.904812865959457e-17,-1.882236738495743e-16,9.809745823208452e-17,-2.521520504996725e-16,-2.308716689601423e-16,1.775166325978888e-16,3.694051526928042e-17,-2.873196711235907e-16,-6.350924224552764e-17,2.016809152798372e-16,-6.510034386348145e-17,0.2500000000000001,-3.9319621577551254e-16,-1.669154448040109e-16,3.401669177798325e-16,-0.40000000000000013
ust,0.20000000000000037,1.8281123064818337e-16,0.15,1.0,0.9,0.7999999999999996,-4.4279808314289927e-16,-2.620306931444817e-16,-2.40057783086438e-16,-3.8259947761226434e-17,4.760473448422729e-16,-1.2890894695766989e-16,1.5036568932769428e-16,-3.1133144503074315e-16,-2.0602012981398795e-16,-2.458408414139897e-16,3.7382004788925663e-16,0.1500000000000004,-2.475250864627803e-16,8.072300309771859e-17
sofr,2.931595932602696e-16,2.6238695015679843e-17,-1.8990532503434147e-17,0.9,1.0,0.8499999999999996,-5.325180712697173e-16,2.8699040328320845e-16,1.96606718828019e-16,7.32698191260574e-18,1.1592074442099743e-16,-3.515672070608076e-16,1.4835155877616723e-16,1.8533894752469299e-16,-2.5737414771688835e-16,-1.7097832707547039e-16,3.2290341127095487e-16,-1.8933021512667945e-17,-2.734884021382489e-16,2.700189760538202e-16
fed_funds,-2.2070874179433078e-16,-3.6519782682852677e-16,-1.8230906588037562e-16,0.7999999999999997,0.8499999999999996,1.0,-4.1785552768183083e-16,1.527144630869829e-16,8.561410714367057e-17,1.6036934278931634e-16,4.517110660022922e-16,3.2655332452622374e-16,5.5482394523587015e-17,2.4983936047828957e-17,-2.8357025988691215e-16,-2.790455427930072e-16,-1.0789142198704812e-16,-3.4404502265526366e-17,-5.521067951688483e-16,4.438696303140417e-16
usdbrl,1.2229410374092786e-16,-1.1597217625707933e-16,1.0093472697658482e-16,-4.435372392981098e-16,-5.344170751474422e-16,-4.1962330231843104e-16,1.0,-0.44999999999999957,-0.10000000000000044,-0.14999999999999988,-0.20000000000000012,-0.20000000000000048,-6.219648604248943e-16,3.2372843397746377e-16,0.35000000000000014,3.4811721753914543e-16,2.9417084881351366e-16,4.0931649013315854e-16,-8.939733620028525e-17,1.568854600682319e-16
ibov,-2.7700258591636966e-16,7.917578902446286e-17,-2.554449855500616e-16,-2.64818869528651e-16,2.884691955082123e-16,1.5387201465275026e-16,-0.44999999999999957,1.0,0.39999999999999974,-4.0084811488130464e-17,1.725480253275035e-16,9.562993108483074e-16,-0.5499999999999999,1.5909493950908442e-16,4.858770792235253e-16,-1.9897491977457238e-16,-0.20000000000000015,-2.9862832015482227e-16,-2.5601485702143007e-17,-6.846967751869276e-17
spx,-3.999771171026801e-16,-3.374775352569328e-16,-2.3369996207109917e-16,-2.4106877373591663e-16,1.9667179676690705e-16,8.522441669975376e-17,-0.1000000000000004,0.3999999999999997,1.0,1.4763799926242727e-16,2.5414796376416343e-16,4.574563554008704e-16,1.3869664145826074e-16,-0.6000000000000006,-8.108440776555508e-17,1.0032689904678183e-16,5.890741922975847e-16,-0.20000000000000007,-3.8852163269023337e-16,1.4132448782403184e-16
soja,5.873792281795503e-17,2.197316662802054e-16,1.783422963526162e-16,-3.8323351958898285e-17,7.613962905034417e-18,1.6042811623291805e-16,-0.14999999999999988,-4.849614859627957e-17,1.575209366153627e-16,1.0,-1.1422643646469738e-16,-1.1540160817651771e-16,5.276645254426177e-16,-1.6486632894510934e-16,-1.4982173686001975e-16,-2.6782331031896854e-16,-2.5550308659559764e-16,1.8520356881405376e-16,1.248571581662462e-16,-1.2304819516462342e-16
brent,1.7675310084110482e-16,-8.060424519158798e-17,3.8057970458268354e-17,4.759591545700898e-16,1.1612478729621593e-16,4.503662654423931e-16,-0.2000000000000001,1.644028140361775e-16,2.5325040160943116e-16,-1.0641862170923819e-16,1.0,0.9499999999999998,-2.737327727434795e-17,1.6099192101114796e-16,4.0752748996757066e-16,2.623004770542165e-16,7.330059082624437e-17,1.4557343765473693e-16,1.121496294383566e-16,-2.818494719354024e-16
wti,-3.138638809494428e-16,4.688530154735407e-17,-2.8287819229321663e-16,-1.289382935992559e-16,-3.5065547189121754e-16,3.2623920722387063e-16,-0.20000000000000046,9.350464037374427e-16,4.472404647946555e-16,-1.1651063806910615e-16,0.9499999999999998,1.0,-3.817354790661099e-16,-5.27037817696476e-17,2.0674730474324722e-16,4.108996779567049e-18,-7.602042586100496e-16,-1.6531557425339477e-16,-4.38522639032665e-17,1.809926025026151e-16
vol_ibov,3.36038410284004e-17,6.443162021008988e-18,-6.755797019258658e-17,1.4892950809655912e-16,1.4796566916962202e-16,6.083705667126544e-17,-6.242475964327749e-16,-0.5499999999999999,1.236387218835e-16,5.201057337430108e-16,-3.036754492060891e-17,-3.9123010100860046e-16,1.0,2.4210138920451428e-17,-9.177504168740674e-16,-2.453246239246076e-17,-4.4186561433379905e-16,3.565203780104053e-17,-1.2212095817336828e-17,-3.694730951123081e-18
vol_spx,3.439111933460941e-17,1.0368468800298122e-16,2.0244588147746688e-16,-3.0912360259926895e-16,1.8196855838676793e-16,2.5234755651576914e-17,3.4598987722781084e-16,1.4921540950520687e-16,-0.6000000000000006,-1.5095733333675297e-16,1.9124366069499322e-16,-2.7490526676082318e-17,5.027514590265358e-17,1.0,3.1935948863183176e-16,-3.140717866288849e-16,-3.1357344070414006e-16,-5.764746150387792e-16,3.010963766085205e-17,-6.78757726654374e-17
vol_usdbrl,-1.5425347070884387e-16,-5.749993866812903e-17,-6.399502134203054e-17,-2.0570218425398277e-16,-2.5635506682487976e-16,-2.8252354610380574e-16,0.35000000000000014,4.769385394925622e-16,-7.881840220648391e-17,-1.3572106229619265e-16,4.116229828227255e-16,2.0620947386616019e-16,-8.505382282580777e-16,3.0499249122288384e-16,1.0,-2.326487164100521e-16,-6.765753178907886e-17,-3.407580526980762e-16,-1.596203258135582e-16,1.3394683714724876e-16
