date,value
2021-01-04,123972.46146635931
2021-01-05,125547.20372770158
2021-01-06,126293.12014878987
2021-01-07,128137.56822530762
2021-01-08,129660.16041705382
2021-01-11,127481.15478962248
2021-01-12,126216.9440723731
2021-01-13,128881.80106849292
2021-01-14,129085.58141818848
2021-01-15,128122.12273830798
2021-01-18,129086.07290536363
2021-01-19,128191.14320495883
2021-01-20,126199.51408639901
2021-01-21,125859.99266260749
2021-01-22,126342.19009026406
2021-01-25,125310.94058026737
2021-01-26,125556.11005834946
2021-01-27,125938.58402670677
2021-01-28,124975.35884661459
2021-01-29,125616.04213464104
2021-02-01,126791.4062257588
2021-02-02,126595.12837565313
2021-02-03,125990.52569647405
2021-02-04,127616.41738673864
2021-02-05,128904.0115632419
2021-02-08,125685.64145886085
2021-02-09,125987.43360331618
2021-02-10,127489.05660910328
2021-02-11,127763.16453236416
2021-02-12,127540.54382856302
2021-02-15,125023.69112440875
2021-02-16,126191.47431330863
2021-02-17,127361.25989606472
2021-02-18,128127.89746455879
2021-02-19,127516.77689390045
2021-02-22,127298.98597739397
2021-02-23,126811.77137165311
2021-02-24,128605.14692105439
2021-02-25,129116.23464406926
2021-02-26,131693.53846347137
2021-03-01,133653.24689914993
2021-03-02,132692.03731451172
2021-03-03,132231.4632764744
2021-03-04,133125.6500200898
2021-03-05,130899.41937131353
2021-03-08,132120.39938964084
2021-03-09,131500.00042089995
2021-03-10,130525.16907168955
2021-03-11,131040.87303562523
2021-03-12,131041.8061013329
2021-03-15,129733.85989017913
2021-03-16,132042.62470045156
2021-03-17,132987.32736162882
2021-03-18,135802.0249808502
2021-03-19,133197.36044491254
2021-03-22,132442.05560066237
2021-03-23,130962.49581115942
2021-03-24,132964.87401563142
2021-03-25,133773.688545432
2021-03-26,137221.44285324655
2021-03-29,135324.91329936992
2021-03-30,135941.55267353504
2021-03-31,135539.09117556666
2021-04-01,139502.2583130058
2021-04-02,138614.3621824792
2021-04-05,136150.11397211705
2021-04-06,131790.78562962727
2021-04-07,131855.7907181515
2021-04-08,131525.5666386536
2021-04-09,129244.10632125745
2021-04-12,129452.32057387469
2021-04-13,129946.5665637134
2021-04-14,126727.96307183424
2021-04-15,130671.90722929157
2021-04-16,131282.34736913836
2021-04-19,133177.75481903582
